user_id,session_begin,session_end
144333,2017-03-01T18:48:06.441000,2017-03-01T20:04:52.143000
144639,2017-03-01T07:25:24.839000,2017-03-01T14:53:52.553000
146027,2017-03-01T07:56:16.321000,2017-03-01T14:54:57.362000
151679,2017-03-01T04:43:40.840000,2017-03-01T05:38:56.828000
153565,2017-03-01T11:24:44.588000,2017-03-01T15:54:16.073000
154864,2017-03-01T05:48:07.767000,2017-03-01T15:46:11.470000
157790,2017-03-01T08:59:33.449000,2017-03-01T19:47:16.291000
162324,2017-03-01T06:15:54.926000,2017-03-01T15:51:23.910000
163620,2017-03-01T18:00:35.859000,2017-03-01T19:05:30.111000
167640,2017-03-01T14:15:19.781000,2017-03-01T17:52:26.252000
168246,2017-03-01T16:45:24.491000,2017-03-01T18:49:09.089000
169624,2017-03-01T12:06:15.725000,2017-03-01T19:41:34.721000
170150,2017-03-01T19:02:35.523000,2017-03-01T21:49:19.296000
171819,2017-03-01T16:43:57.053000,2017-03-01T17:36:59.721000
173067,2017-03-01T18:35:47.143000,2017-03-01T19:59:36.387000
173224,2017-03-01T13:17:36.953000,2017-03-01T16:31:20.861000
173339,2017-03-01T18:57:59.982000,2017-03-01T20:23:52.737000
174254,2017-03-01T06:47:34.516000,2017-03-01T09:35:41.971000
182761,2017-03-01T17:24:27.944000,2017-03-01T18:49:51.074000
183416,2017-03-01T05:17:22.605000,2017-03-01T06:50:17.886000
183503,2017-03-01T05:46:17.616000,2017-03-01T20:52:10.708000
183754,2017-03-01T06:51:38.548000,2017-03-01T18:56:26.791000
187286,2017-03-01T10:08:21.716000,2017-03-01T13:31:42.562000
198624,2017-03-01T07:23:30.828000,2017-03-01T08:40:18.347000
198870,2017-03-01T10:15:58.279000,2017-03-01T15:52:40.384000
200035,2017-03-01T07:37:06.132000,2017-03-01T22:02:48.206000
200108,2017-03-01T03:21:30.803000,2017-03-01T05:47:47.656000
200833,2017-03-01T06:50:52.425000,2017-03-01T18:46:31.479000
200861,2017-03-01T17:46:24.104000,2017-03-01T19:47:49.742000
203438,2017-03-01T15:56:33.092000,2017-03-01T16:49:11.598000
203612,2017-03-01T12:09:14.229000,2017-03-01T19:21:22.573000
204255,2017-03-01T11:49:57.376000,2017-03-01T15:59:49.331000
207399,2017-03-01T06:56:19.088000,2017-03-01T13:41:43.169000
209315,2017-03-01T14:48:05.071000,2017-03-01T15:57:14.808000
210290,2017-03-01T08:33:42.400000,2017-03-01T18:51:11.037000
212741,2017-03-01T16:48:00.661000,2017-03-01T18:54:17.841000
213843,2017-03-01T17:14:01.080000,2017-03-01T18:39:35.703000
217400,2017-03-01T02:44:40.427000,2017-03-01T04:40:18.634000
218362,2017-03-01T06:09:48.688000,2017-03-01T06:54:06.688000
219133,2017-03-01T18:26:35.072000,2017-03-01T19:49:00.129000
219348,2017-03-01T03:58:45.697000,2017-03-01T13:58:24.402000
219379,2017-03-01T15:39:21.892000,2017-03-01T18:37:36.177000
219877,2017-03-01T18:06:57.499000,2017-03-01T20:08:19.299000
220495,2017-03-01T08:02:34.401000,2017-03-01T09:50:23.333000
220637,2017-03-01T18:36:13.551000,2017-03-01T19:39:45.636000
223264,2017-03-01T11:00:57.416000,2017-03-01T17:41:05.552000
225116,2017-03-01T12:26:39.409000,2017-03-01T14:44:08.825000
226182,2017-03-01T07:00:26.173000,2017-03-01T08:33:01.697000
